ID,Comp ID,Application Date,Response Date,Follow up date,Company,Position,Resume link,Application link,Cover Letter,
31,31,2023-08-28,,,d1g1t,Senior Frontend Engineer,https://docs.google.com/document/d/1J6zr9ZbyaM20RjBEgS0ESYkXTQJL_lNhx44uTgzxNfI/edit,https://www.linkedin.com/jobs/view/3674019087,,
32,32,2023-09-01,,,Roofr,Senior Frontend Engineer,https://docs.google.com/document/d/19OjTxUYlmW9dULfyY4SuiCLFGtkLPOmVYlboPwQ-zfc/edit,https://www.linkedin.com/jobs/view/3706104549,,
33,33,2023-09-01,2023-09-03,,Gigster Network,Senior Front-End Developer,https://docs.google.com/document/d/1hVSewcgMP8wE5bxKmG37oU78E0LQwhH4aiK55Q6cL6g/edit,https://www.linkedin.com/jobs/view/3686308419,,
34,34,2023-09-01,,,Swim Recruiting,PHP Software Engineer,https://docs.google.com/document/d/1_k5EVuEBlXm4yrJQmfvHDMxiV6DpmurMYPHRtfRbRDI/edit,https://www.linkedin.com/jobs/view/3690782285,,
35,35,2023-09-01,2023-09-13,,Adobe,Senior Software Engineer,https://docs.google.com/document/d/1m3slPBa57DQYQJ-u4MishvixcHvSCTrxOXCizbQtXdE/edit,https://www.linkedin.com/jobs/view/3704518292,,
36,36,2023-09-01,,,Pani,Full-Stack Developer,https://docs.google.com/document/d/1l3c0WP5UPJySqbY3UH7AnRVwIe6JIU9kkpaFk5txl0M/edit,https://www.linkedin.com/jobs/view/3701471334,,
37,37,2023-09-06,,,PYMNTS,Full-Stack React/Node.js Developer,https://docs.google.com/document/d/1OsVXEWJWSFU8J8IW48DRwdv5EWYSzCi7qJsQ1laxdTQ/edit#heading=h.17dp8vu,https://www.linkedin.com/jobs/view/3701790168,https://docs.google.com/document/d/1nJFmYZPJOuZ8g0JFxFPKv1OucniNOsarkd7FEnFgGms/edit,
38,38,2023-09-08,,,Milk Moovement,Full Stack Developer II,https://docs.google.com/document/d/1T8-4FhVaT9e4rzck6HUI9ChdQyTuELXO5EmTgNywMg0/edit#heading=h.1fob9te,https://www.linkedin.com/jobs/view/3706265507,,
39,39,2023-09-11,2023-10-20,,Klue,Intermediate Frontend Engineer ,https://docs.google.com/document/d/1DKFYV9LR34OwQ5l-eul7M_EQEzBuUdOzUtRj8nq-drY/edit,https://www.linkedin.com/jobs/view/3700024349,,
40,40,2023-09-11,,,Let's Roam,Junior & Mid-Level Full Stack Developer,https://docs.google.com/document/d/1IqF--kqnzQCPWtcKTQljkPFNDV-HjzzttZwODJHKAzA/edit#heading=h.aqqgyf1jcetq,https://www.linkedin.com/jobs/view/3689652497,,
41,41,2023-09-11,,,Pixieset,"Software Developer, Full Stack",https://docs.google.com/document/d/1VhKobNwy3EmVs1aDVa-bhvFsiuaySU8NGIIZBAWS9Qo/edit,https://pixieset.breezy.hr/p/c8abb7691da2-software-developer-full-stack,,
42,41,2023-09-11,,,Pixieset,"Software Developer, Full Stack (Growth)",https://docs.google.com/document/d/1VhKobNwy3EmVs1aDVa-bhvFsiuaySU8NGIIZBAWS9Qo/edit,https://pixieset.breezy.hr/p/047d313cd6f7-software-developer-full-stack-growth,,
43,24,2023-09-11,,,Shakepay,Intermediate Full Stack Developer (Remote - Canada),https://docs.google.com/document/d/11tZ7McxQ7JX4s9MkBTmzz28LwgR0CYM2H8Xc_XQWHJ4/edit,https://www.linkedin.com/jobs/view/3718410689,,
44,42,2023-09-12,,,Pattern Learning AI,Entry-Level React Developer - US/Canada,https://docs.google.com/document/d/1HLujYiV4G6GgtBNHuVBS8HPCqMHuMrEUCeRcFkp2B9g/edit,https://www.linkedin.com/jobs/view/3718050458,,
45,43,2023-09-12,2023-10-14,,Asana,"Software Engineer, Product",Easy Apply - Linkedin with Master resume,https://www.linkedin.com/jobs/view/3715546445,,
46,44,2023-09-12,2023-09-20,,Clevertech,Senior Full Stack Engineer - Javascript,,,,
47,45,2023-09-14,,,Randstad,Front End x 2 - Remote - 4 months,https://docs.google.com/document/d/1AwwmmZ488xus-DzhCdmp1NSH6_TnoRjxxq7Wg0nKuok/edit,https://www.linkedin.com/jobs/view/3712104136,,
48,46,2023-09-14,2023-10-16,,Fullscript,Javascript Engineer II,https://docs.google.com/document/d/1Qe6JW5TMHfdCr6-DMN0SYLPnMxYgwc0j0GqDwKZhIVk/edit,https://www.linkedin.com/jobs/view/3712103155,,
49,47,2023-09-18,2023-09-25,,Coconut,Senior Developer,https://docs.google.com/document/d/1CylxZDjhgVcA8duzPA9g74J0UuWmivt6Y9k5MP2-BvM/edit,https://www.linkedin.com/jobs/view/3695489352,,
50,48,2023-09-21,,,RainBarrel,Senior Full-Stack Developer,https://docs.google.com/document/d/1AM6JpR_FjSDX3-7koQZJ54fEV3kOlDuysKkhnnxztIU/edit,https://loknowcareers.applytojobs.ca/engineering+and+technology/24909,https://docs.google.com/document/d/1cTyKv_HtpPw0-VTlZO_F2WVcarDKjKn72bnMiUIPccU/edit,
51,49,2023-09-29,,,Fortinet,Web Developer,https://docs.google.com/document/d/1AM6JpR_FjSDX3-7koQZJ54fEV3kOlDuysKkhnnxztIU/edit,,,
52,50,2023-09-29,,,The Conference Board of Canada,Senior Web Developer (Remote),https://docs.google.com/document/d/1qQ5PyrR5wh6dtsM2W669skkii6iJ7r6zfd5lyKevJZA/edit,https://www.linkedin.com/jobs/view/3729800594,,
53,51,2023-09-29,2023-10-02,,SimplyPHP,Web Application Developer,https://docs.google.com/document/d/1JmKY176GWOhCEjYe7ZfM4YspCcRqUofN2dJGaERz4fU/edit,https://www.linkedin.com/jobs/view/3726280868,,
54,52,2023-09-29,,,Craver,Intermediate Frontend Developer,https://docs.google.com/document/d/1QhqFqvA3FJam6pC0JkW6Pha1LsQ229Q3FpL0s7Vw9rs/edit,https://www.linkedin.com/jobs/view/3726533471,,
55,53,2023-09-29,,,Super.com,Intermediate Software Engineer (Full Stack) (Remote),https://docs.google.com/document/d/169g8VMefgIlft_iYZpCJfVInHYH7EvqQwhOmk6eNsic/edit,https://www.linkedin.com/jobs/view/3726202995,,
56,51,2023-10-02,2023-10-05,,SimplyPHP,PHP Developer,https://docs.google.com/document/d/1JmKY176GWOhCEjYe7ZfM4YspCcRqUofN2dJGaERz4fU/edit,https://www.linkedin.com/jobs/view/3727230094,,
57,54,2023-10-02,,,PolicyMe,Software Engineer - Fullstack,https://www.linkedin.com/jobs/view/3727222280/?refId=da8434e9-6006-430e-b50c-b45cdf7cb65d&trackingId=gWHmAvJfQiCaRs7F%2FLLWXQ%3D%3D,https://www.linkedin.com/jobs/view/3727222280,,
58,55,2023-10-05,,,BrainStation,Web Developer - Educator,https://docs.google.com/document/d/1AwwmmZ488xus-DzhCdmp1NSH6_TnoRjxxq7Wg0nKuok/edit,https://brainstation.io/careers/jobs/educator-web-developer_5763039003,https://docs.google.com/document/d/10277CJtpVAiv20JMZ0n2OllFiW3n8rb_E8jVht-IbEw/edit,
59,56,2023-10-06,2023-10-07,,Jungle Scout,Software Engineer,https://docs.google.com/document/d/1AwwmmZ488xus-DzhCdmp1NSH6_TnoRjxxq7Wg0nKuok/edit,https://www.linkedin.com/jobs/view/3712198245,,
60,57,2023-10-07,,,HustleWing,Web Developer,https://docs.google.com/document/d/1AwwmmZ488xus-DzhCdmp1NSH6_TnoRjxxq7Wg0nKuok/edit,https://www.linkedin.com/jobs/view/3735228144,,
61,58,2023-10-07,,,eCapital Corp.,Full-Stack Software Developer,https://docs.google.com/document/d/1ja-ZUwe9QDFOn0sshAVSRK2XMoN9fsVv2g2lrZubJo4/edit,https://www.linkedin.com/jobs/view/3729786794,,
62,59,2023-10-07,2023-10-11,,Cedar,Software Engineer (Launch),https://docs.google.com/document/d/1AwwmmZ488xus-DzhCdmp1NSH6_TnoRjxxq7Wg0nKuok/edit,https://www.linkedin.com/jobs/view/3734045040,,
63,60,2023-10-12,,,Binance.us,Senior Web Developer (Remote),https://docs.google.com/document/d/1PgOJuQ8Kf0EJ2syicbWz9xDXG6DYjKRJpdt8GoATppI/edit,https://www.linkedin.com/jobs/view/3733303014,,
64,39,2023-10-13,,,Klue,Senior Frontend Engineer,https://docs.google.com/document/d/1DKFYV9LR34OwQ5l-eul7M_EQEzBuUdOzUtRj8nq-drY/edit,https://www.linkedin.com/jobs/view/3679654545,,
65,61,2023-10-13,,,Airble,Software Developer,https://docs.google.com/document/d/1gY9rf9FldwNkuLmu8Hfx-GZ-a7cVZq68qJEnrHxoUeI/edit,https://jobs.vantechjournal.com/software-developer-3439ae3c2a07,,
66,62,2023-10-23,2023-11-07,,Canny,Software Engineer,https://docs.google.com/document/d/10YDtKvbs4_cTIpR_xj3MCNIj45Q8v90w1zBpdEE9G7Q/edit#heading=h.lnxbz9,https://www.linkedin.com/jobs/view/3744539901,https://docs.google.com/document/d/1y5uYESnWEugCvUL5p5YaydhtzuMrsC1FvGAK91j29ww/edit,
67,63,2023-10-23,,,Fishtank,Front-End Developer,https://docs.google.com/document/d/1k--ozg39Ei9jnsuwTkKR3rLqFv5Jhd32Xm86xGtAYGU/edit,https://www.linkedin.com/jobs/view/3740404336,,
68,32,2023-10-23,,,Roofr,Senior Frontend Engineer,https://docs.google.com/document/d/1kUnMDbyY7246MSS3Gdoenvo8Z-ghpoVSJXTtGVqAgYE/edit,https://www.linkedin.com/jobs/view/3737481289,https://docs.google.com/document/d/1tfTo1fWZSqEGS4EV74bh8IoH3w1SodXP1hGR9zmYSoc/edit,
69,64,2023-10-31,2023-11-04,,Hootsuite,"Intermediate Software Developer, Full Stack",https://docs.google.com/document/d/1Sba_KdicGOghFBXGO2aQ00rY2dueNs7PCZYd53Qx_48/edit,https://careers.hootsuite.com/job/?gh_jid=5155303,https://docs.google.com/document/d/1eULrqVisj4pzqfJxbO_UsapSjFGlQtQKNcodjkc5hkI/edit,
70,65,2023-11-01,,,Aquanow,Intermediate Fronted Javascript Developer,https://docs.google.com/document/d/1mGNu41h3y25u3QlFdlyjrOpktoShgTKp1uQmfQL3968/edit,https://www.linkedin.com/jobs/view/3747519488,,
71,66,2023-11-01,,,Tucows,Sr Software Engineer - Domains,https://docs.google.com/document/d/19vN6yHMRGCQTjckihJciVEnAh78WfsUBDlB2TEuYnjg/edit#heading=h.3znysh7,https://www.linkedin.com/jobs/view/3749742392,https://docs.google.com/document/d/1tfTo1fWZSqEGS4EV74bh8IoH3w1SodXP1hGR9zmYSoc/edit,
72,67,2023-11-09,2023-11-14,,ResearchGate,Senior Full-Stack Engineer React & PHP,https://docs.google.com/document/d/1GiHUPezBa_UvOwlOqqLMAkLDuow1tn6yiF5LggEZCAI/edit,https://jobs.lever.co/researchgate/68129ddc-15ab-4999-bfab-0a6cf5ebbfd7/apply,https://docs.google.com/document/d/10OknjvMnW-Cr56QS523ry_YAO4_YNYRI5_E80IjD8R0/edit,
73,68,2023-11-09,2023-11-09,,Caddie,Senior Full Stack Software Engineer,https://docs.google.com/document/d/1F7S-AMCmxfGzQF6yLqAxLqBudXCg5pAUKMpwh9UslVY/edit,https://www.ycombinator.com/companies/caddie-ai/jobs/DZmfnRk-senior-full-stack-software-engineer?utm_source=syn_li,,
74,69,2023-11-09,,,Webisoft,ReactJS Developer,Latest resume,https://www.linkedin.com/jobs/view/3750356791,,
75,33,2023-11-09,2023-11-12,,Gigster Network,Senior Back-End Developer,https://docs.google.com/document/d/1hHP1fuHsuiUs-12HejAwg7y-hpJ_p0zKhSmrFHzGfEc/edit#heading=h.1fob9te,https://www.linkedin.com/jobs/view/3759808911,,
76,70,2023-11-09,,,CORADIX,Senior Web Developer - Government of Canada,https://docs.google.com/document/d/10U4lo3zNSGb6d4cwJQ7lA-ZBcWJh40o9_g-yUnt3VlA/edit,https://www.linkedin.com/jobs/view/3761113787,,
77,71,2023-11-09,,,Just Appraised,Frontend Developer,https://docs.google.com/document/d/1ZvzTlfWpqmDW1xOGhgzxyLg0dGh0rn4IiNYOM3bEdz4/edit#heading=h.lnxbz9,https://www.linkedin.com/jobs/view/3759083636,https://docs.google.com/document/d/1VLe4CWmX-XpuHAgfVWyyyGDUTzny_Bt1sn1QcmMbsmU/edit,
78,72,2023-11-09,,,Air Apps,Backend Developer - Join Our Talent Pool!,Latest resume,https://www.linkedin.com/jobs/view/3759307719,,
79,73,2023-11-09,,,UniUni,Senior Software Developer,Latest resume,https://ca.indeed.com/viewjob?from=app-tracker-post_apply-appcard&hl=en&jk=a54ef8e6c5f3db0b&tk=1heqjd880ih73800,,
80,74,2023-11-10,,,Konect,Backend Developer (PHP & Node.js),https://docs.google.com/document/d/1Je1SGxrSsndsHMgc4TY_vycHfa6tYcJsK8qo_h0MXr0/edit,https://www.linkedin.com/jobs/view/3756540894,,
81,75,2023-11-10,,,Loopio,Software Developer (Core Experience),https://docs.google.com/document/d/1BHFi9lCjTnCnhA6kjNnThsgf4EsKPxUjdbT3i11HffE/edit,https://www.linkedin.com/jobs/view/3721913457,,
82,76,2023-11-10,,,Fable,Full Stack Software Engineer,https://docs.google.com/document/d/1OBrKW5rFUshIordDpg-ajpS3kn0muoBc2gBhXutmMag/edit,https://www.linkedin.com/jobs/view/3737610422,,
83,77,2023-11-10,,,Salesforce,Full-Stack Software Engineer – Application Development,https://docs.google.com/document/d/1Yuo9_o6oT8nNDU_BrMG2PZe0wU8HvsJZwdSnvu9yv7s/edit#heading=h.1fob9te,https://www.linkedin.com/jobs/view/3707152946,https://docs.google.com/document/d/10OknjvMnW-Cr56QS523ry_YAO4_YNYRI5_E80IjD8R0/edit,
84,78,2023-11-13,,,iContact,Senior Backend / Fullstack Software Engineer - iContact,https://docs.google.com/document/d/1lh0_F4e246VWhEBSLYh74CHodlm82e7LkAU8Ega_f3Q/edit,https://www.linkedin.com/jobs/view/3598861942,https://docs.google.com/document/d/1Yvv0H_lBgVF8RAs3321jl6bND3FB4ObQOcGHkrrexqA/edit,
85,79,2023-11-14,,,Dapper Labs,Senior Frontend Engineer I (Vancouver),https://docs.google.com/document/d/1OOZ2MMzlmnls5PzSKQtVvZYJUoWq6SPPwIwBcyDxYLU/edit,https://www.linkedin.com/jobs/view/3757054802/,,
86,80,2023-11-15,2023-11-17,,CommandLink,Full-Stack Software Engineer,https://docs.google.com/document/d/1Oqt3FUr0ogDUuSrs6KlnoJ-h4BfzfsAA8IBIM8--M44/edit,https://www.linkedin.com/jobs/view/3764114797,,
87,81,2023-11-28,2023-12-05,,Leonardo.io,Front End Engineer - Web Team,https://docs.google.com/document/d/16Z8abWBy9SaTS75xEW7BqZvEVUI2Qwx1Z2SQVCOf_Ek/edit,https://www.linkedin.com/jobs/view/front-end-engineer-web-team-at-leonardo-ai-3772384614/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic&originalSubdomain=ca,,
88,82,2023-12-06,2023-03-25,,Doctors of BC,Front-end Web Developer,https://docs.google.com/document/d/1VIl0pXz__HKhpFHxiiBkr2HbgwQOaCLlHrajpy6-St8/edit#heading=h.1t3h5sf,https://ca.indeed.com/viewjob?jk=dadaaf5a5b3191a6&q=web+developer&l=North+Vancouver%2C+BC&tk=1hh0ohpi8lnil803&from=ja&alid=5cec69894caad346fc4c5046&xpse=SoCq67I3HhcHcfQfYh0LbzkdCdPP&utm_campaign=job_alerts&utm_medium=email&utm_source=jobseeker_emails&rgtk=1hh0ohpi8lnil803&xkcb=SoAR67M3Hg5IXlWq5J0JbzkdCdPP,https://docs.google.com/document/d/1lLCTPSd_JE8RuWdeZwes9i35QoGw3jTdJNEdHx1CYSE/edit,
89,83,2023-12-12,,,Super.com,Intermediate Software Engineer (Remote),https://docs.google.com/document/d/1EVsEEwgO2rzRzBSSeRqNaNhR-z6pR6X2QVaxOJlBacQ/edit,https://www.linkedin.com/jobs/view/3774805754,https://docs.google.com/document/d/14brq9XY0d6dBI1qRZINYmCBf8uXggFqMpAiB2NBiJ1s/edit,
90,84,2023-12-12,2024-01-29,,Warner Music Group,Software Engineer,https://docs.google.com/document/d/1z2vwe5C9_7eyMBmqWNlMmZgjhw67R9Uky9OUUYWOzqI/edit,https://www.linkedin.com/jobs/view/3774005925,,
91,85,2023-12-13,2024-01-02,2023-12-28,StreamYard,Senior Software Engineer,https://docs.google.com/document/d/1YPe9EEhusEfSRjMvPstLjNhi3ojDZjXiSbqd-0Y3Knw/edit#heading=h.3znysh7,https://www.linkedin.com/jobs/view/3779150770,,
92,86,2023-12-13,,,Sage Recruiting,Full Stack Engineer,https://docs.google.com/document/d/1JQLAcAESfcPAZr6qhYuWA8C6TNKJIf_E4gPMswRj-lQ/edit,https://www.linkedin.com/jobs/view/3766057778,,
93,87,2023-12-13,2023-12-18,,honeycomb.io,Midlevel Software Engineer (Violet Team),https://docs.google.com/document/d/1K74bet-uaL5EJXnka5ibbkVVmpbNhQ8mqOt1Pf1Qrww/edit,https://www.linkedin.com/jobs/view/3772672283,,
94,88,2023-12-13,,,Queen's University Canada,Web Developer,https://docs.google.com/document/d/14ZKraw6dWYrH-8crEUu3PmIKsb4Q-dCADK4nkla6WoY/edit,https://www.linkedin.com/jobs/view/3785563753,https://docs.google.com/document/d/11YB9y4V-0yxT9AebDO8UsBrrpOhmBKN4d-lx9i2DwNU/edit,
95,89,2023-12-13,,,CMI Canadian Mortgages Inc ,Intermediate PHP Developer,,https://www.linkedin.com/jobs/view/3774833409,,
96,90,2024-01-05,,,Dapper Labs,Frontend Engineer,https://docs.google.com/document/d/1NtuKhyuvmyjBqIu3z13wTMwcx3maynwus6VCO04KK30/edit,https://www.linkedin.com/jobs/view/3770165578,https://docs.google.com/document/d/1waFTaP8E9WyWLPHCK4k56BLq6PpbRXJNm1TyX3IxRf4/edit,
97,91,2024-01-06,,,Questrade Financial Group,Software Engineer (PHP),https://docs.google.com/document/d/1A4juWH7j2-SrG7gFHrUS2h4tt8kLuhtj3w5DC-URUes/edit,,https://docs.google.com/document/d/1jrJCpypfF0xZE1mwgFxgzviTiD5NLacj-xKdsefWBXw/edit,
98,92,2024-01-06,2024-01-09,,Whatnot,Frontend Engineer,https://docs.google.com/document/d/1PjI11RwIUD3Kl8U2dLV7MoUIiKNn3KxGJeIZ-Jlajh4/edit,,https://www.linkedin.com/jobs/view/3200740454,
99,93,2024-01-06,,,Euna Solutions,Software Developer,https://docs.google.com/document/d/187TDYPqeEMKYou9zK3JZxJcqH1R5Zh5DF3cfcI_ObAo/edit,https://www.linkedin.com/jobs/view/3794046447,,
100,94,2024-01-06,2024-02-19,,HeyOrca,Full-Stack Web Developer,https://docs.google.com/document/d/1t58ocYxGHk84X_5SsQzDI4O6fSYQObNid46rj_qgnI8/edit,https://www.linkedin.com/jobs/view/3798717737,,
101,95,2024-01-06,2024-01-19,,Canny,Software Engineer (Remote),https://docs.google.com/document/d/10YDtKvbs4_cTIpR_xj3MCNIj45Q8v90w1zBpdEE9G7Q/edit#heading=h.lnxbz9,https://www.linkedin.com/jobs/view/3799874101,https://docs.google.com/document/d/1y5uYESnWEugCvUL5p5YaydhtzuMrsC1FvGAK91j29ww/edit,
102,96,2024-01-09,2024-02-21,,BC Public Service,ISL 27R - Full Stack Developer - (102525),Latest resume,https://www.linkedin.com/jobs/view/3784438892,,
103,97,2024-01-10,,,felix,Senior Front End Engineer,https://docs.google.com/document/d/13ioiOohOko8poPkcfU0piT7xGNsldYtTYJT4PLkNQO8/edit,https://www.linkedin.com/jobs/view/3797711787,,
104,98,2024-01-14,2024-01-29,,Warner Music Group,Software Engineer,https://docs.google.com/document/d/14z04WVsFTaaAOeXHESAGOKKl2uGwiv4_cxZNhi2Uv4k/edit,,https://docs.google.com/document/d/1Z0WSZSgfSCr_Pe4vivGdi1fR15iRU05-s-rdjf-z5Qw/edit,
105,99,2024-01-14,,,Commit,Software Engineer (General Application),https://docs.google.com/document/d/1xN8KbCz0eF2Z5TqFZ-EL5JAyh5rjLkWdaTH8t155vZM/edit,,https://www.linkedin.com/jobs/view/3789685744,
